"","population","individual","tracking_year","b","c","exposure_score","CI_lower","CI_upper"
"221","Iceland","ISR.339243",2016,1.00000000040109,0.99645648966516,24.5785,20.6424575,25.4516225
"222","Iceland","ISR.339244",2016,0.999999999831743,0.996971834010853,25.0905,20.6424575,25.4516225
"223","Iceland","ISR.339245",2016,0.999999999718966,1.00227599315889,24.8288,20.6424575,25.4516225
"224","Iceland","ISR.339245",2017,1.00000000012687,0.996798435234101,23.8454,20.6424575,25.4516225
"225","Iceland","ISR.339246",2016,1.00000000017599,0.997938541901872,23.802,20.6424575,25.4516225
"226","Iceland","ISR.339246",2017,0.999999999900865,0.997424734357934,24.1746,20.6424575,25.4516225
"227","Iceland","ISR.339246",2018,0.999999999921783,0.997301689342268,25.3382,20.6424575,25.4516225
"228","Iceland","ISR.339248",2017,0.999999999915417,0.999403593435384,23.1752,20.6424575,25.4516225
"229","Iceland","ISR.339248",2018,0.999999999873125,0.997832056192046,23.782,20.6424575,25.4516225
"230","Iceland","ISR.340703",2014,0.999999999968168,0.999773078199166,24.7221,20.6424575,25.4516225
"231","Iceland","ISR.340703",2015,1.00000000009231,1.00104498045476,25.1862,20.6424575,25.4516225
"232","Iceland","ISR.340703",2016,1.00000000019827,1.00112293652131,24.8163,20.6424575,25.4516225
"233","Iceland","ISR.340703",2017,0.999999999751253,0.997994013887429,25.4796,20.6424575,25.4516225
"234","Iceland","ISR.340703",2019,0.99999999994543,0.997963323041946,24.2123,20.6424575,25.4516225
"235","Iceland","ISR.340703",2020,1.00000000020009,0.99815689911626,24.681,20.6424575,25.4516225
"236","Iceland","ISR.340709",2015,1.00000000013779,0.995189728442656,23.1493,20.6424575,25.4516225
"237","Iceland","ISR.340709",2016,1.0000000002326,0.995495086836164,20.7292,20.6424575,25.4516225
"238","Iceland","ISR.340709",2017,1.00000000016735,0.996478740847034,22.0809,20.6424575,25.4516225
"239","Iceland","ISR.340719",2014,1.00000000006321,0.999721112141795,24.4507,20.6424575,25.4516225
"240","Iceland","ISR.340719",2015,0.999999999826287,0.994834898585474,24.261,20.6424575,25.4516225
"241","Iceland","ISR.340719",2016,1.00000000028876,0.99623728474901,23.0636,20.6424575,25.4516225
"242","Iceland","ISR.340719",2017,1.00000000005411,0.996920087428727,24.1122,20.6424575,25.4516225
"243","Iceland","ISR.340719",2018,1.00000000020668,0.999137707341053,25.1628,20.6424575,25.4516225
"244","Iceland","ISR.340719",2019,0.999999999890861,0.999171959306222,24.409,20.6424575,25.4516225
"245","Iceland","ISR.340721",2015,0.999999999805823,0.997096911315059,23.5046,20.6424575,25.4516225
"246","Iceland","ISR.340721",2016,1.00000000019418,0.99822392529991,23.3917,20.6424575,25.4516225
"247","Iceland","ISR.340721",2017,0.999999999865395,0.998335167844889,22.8175,20.6424575,25.4516225
"248","Iceland","ISR.340721",2020,0.999999999863576,0.997073556237507,23.1017,20.6424575,25.4516225
"249","Iceland","ISR.340732",2014,1.00000000010641,1.00368394988714,23.5755,20.6424575,25.4516225
"250","Iceland","ISR.340732",2015,1.00000000003251,1.00095522455398,25.0226,20.6424575,25.4516225
"251","Iceland","ISR.340732",2016,1.00000000055934,0.995482301206447,23.9962,20.6424575,25.4516225
"252","Iceland","ISR.340732",2017,1.00000000015143,1.00144263372547,22.795,20.6424575,25.4516225
"253","Iceland","ISR.340732",2019,0.999999999989086,1.00004807407939,23.8655,20.6424575,25.4516225
"254","Iceland","ISR.340758",2014,1.00000000021328,1.00172182349493,23.8807,20.6424575,25.4516225
"255","Iceland","ISR.340758",2015,0.999999999947704,1.00108107349854,23.8465,20.6424575,25.4516225
"256","Iceland","ISR.340758",2016,1.00000000014006,0.996653281355541,23.155,20.6424575,25.4516225
"257","Iceland","ISR.340758",2017,1.00000000001592,1.00021034955369,23.5159,20.6424575,25.4516225
"258","Iceland","ISR.340758",2018,1.00000000011914,0.9984981372154,23.8289,20.6424575,25.4516225
